,componentID,CA,Linkage,Axles,Lights,Seat,Radio,Guard,Fender,Bucket,Tires
0,source-1,,,,,,,,,,
1,source-2,,,,,,,,,,
2,source-3,,,,,,,,,2259.36,
3,source-4,,,,,,,,,,
4,source-5,,,,,,,,,,
5,source-6,74850.53,6184.24,4955.86,273.04,4812.89,152.39,154.33,197.115,,
6,source-7,,,,,1159.19,28.88966,,,,
7,source-8,,,,,,,,,,
8,source-9,,,,,,,,,,
9,source-10,,,,,,,,,,
10,source-11,,,,,,,,,,
11,source-12,,,,,,,,,,
12,source-13,,,,,,,,,,
13,source-14,,,,,,,,,,
14,source-15,,,,,,,,,,
15,source-16,,,,,,,,,,
16,source-17,80464.48801,,3911.82,,,,106.20601,,3780.94691,948.58416
17,source-18,,,,,,,,,,
18,source-19,,,,,,,,,,
19,source-20,,,,172.71,,,,,,
20,source-21,77893.05,5714.3,4960.175,85.35,5158.71,242.73,221.02,471.4475,450.23,2115.9075
21,source-22,,,,,,,,,,
22,source-23,,,,,,,,,,
23,source-24,,,,,,,,,,
24,source-25,,,,,,,,,,
25,source-26,,,,,,,,,,
26,source-27,,,,,,,,,,
27,source-28,,,,,,,,,,
28,source-29,,,,,,,,,,
29,source-30,,,,,,,,,,
30,source-31,,,,,,,,,,
31,source-32,,,,,,,,205.774975,,
32,source-33,,,,,,,,,,
33,source-34,,,,,,,,,,
34,source-35,,,,,,,,,,1703.44
35,source-36,,,,,,,,,,
36,source-37,,,,,,,,,,
37,source-38,,,,,,,,,,
38,source-39,,,,,,,,,,
39,source-40,,,,,,,,,,
