,source,dest,cost_20ft,time_20ft,cost_40ft,time_40ft,cost_roro,time_roro
0,N1,N9,64.1893154,32.2129908,31.33049918,32.2129908,21.5,12.0
1,N1,N10,57.15067075,30.36862367,27.89497024,30.36862367,25.605,9.5
2,N1,S1,35.66466464,16.2,17.40775298,16.2,35.895,18.8
3,N1,S2,91.01489105,47.091564,44.42393493,47.091564,87.835,43.9
4,N1,S3,30.41501525,27.1,14.84542411,27.1,124.385,66.1
5,N1,S4,18.08307927,23.75,8.826264881,23.75,31.335,29.3
6,N1,S5,45.81745427,23.875,22.36328125,23.875,36.645,21.4
7,N1,S6,51.5625,23.0,25.16741071,23.0,34.335,15.0
8,N1,S7,53.75,18.0,26.23511905,18.0,31.025,15.6
9,N1,S8,15.96798781,29.0,7.79389881,29.0,56.3,31.3
10,N1,E1,27.47510163,13.71111111,13.41046627,13.71111111,32.1,13.0
11,N1,E2,43.17878753,21.69230769,21.07536058,21.69230769,37.485,23.9
12,N1,E3,25.85373476,19.75,12.61908482,19.75,32.42,19.7
13,N1,E4,33.66620817,16.81395349,16.43231589,16.81395349,37.105,18.0
14,N1,E5,30.4230564,21.5,14.84934896,21.5,36.805,27.2
15,N1,E6,35.09386726,27.03846154,17.1291495,27.03846154,33.035,40.3
16,N1,E7,35.38871951,44.0,17.27306548,44.0,120.515,60.7
17,N1,E8,67.7957554,39.85829497,33.09078536,39.85829497,104.055,59.1
18,N1,E9,56.4964628,33.21524581,27.57565447,33.21524581,86.715,49.2
19,N1,E10,40.79268293,35.2,19.91071429,35.2,133.905,67.4
20,N1,E11,169.4893885,99.64573743,82.72696341,99.64573743,260.14,147.7
21,N1,M1,30.24643946,28.03571429,14.76314307,28.03571429,37.485,33.2
22,N1,M2,21.5320122,22.25,10.50967262,22.25,29.92,25.4
23,N1,M3,100.9854282,54.6121603,49.2905066,54.6121603,52.0,24.0
24,N1,M4,70.9184451,50.375,34.61495536,50.375,71.815,54.7
25,N1,M5,66.46385015,33.28571429,32.44068878,33.28571429,45.885,38.3
26,N1,M6,59.8787263,31.11111111,29.22652116,31.11111111,53.515,27.0
27,N1,M7,56.0133881,36.43478261,27.33986801,36.43478261,47.37,26.7
28,N1,M8,50.08976965,30.38888889,24.44857804,30.38888889,52.62,21.8
29,N1,M9,67.17987805,15.0,32.79017857,15.0,87.835,43.9
30,N1,M10,43.90262958,24.75,21.42866443,24.75,39.78,28.0
31,N1,M11,77.8844851,35.22222222,38.0150463,35.22222222,54.92,35.0
32,N1,M12,45.86705624,38.27777778,22.38749173,38.27777778,43.575,26.1
33,N1,M13,71.2195122,35.0,34.76190476,35.0,57.515,24.0
34,N1,K1,28.11514763,34.89473684,13.72286967,34.89473684,33.785,35.6
35,N1,K2,80.97560975,44.0,39.52380952,44.0,57.515,52.0
36,N1,K3,31.23218157,35.66666667,15.2442791,35.66666667,51.475,34.5
37,N1,K4,212.3680792,109.880316,103.6558482,109.880316,57.515,52.0
38,N1,K5,23.8027058,31.125,11.61798735,31.125,117.095,45.0
39,N1,A1,22.5396107,38.23076923,11.00147665,38.23076923,66.785,48.5
40,N1,A2,25.00067645,40.3125,12.20271112,40.3125,214.25,107.8
41,N1,A3,22.536125,43.74,10.9997753,43.74,57.92,57.3
42,N1,A4,20.8460061,35.8,10.17483631,35.8,57.585,60.5
43,N1,A5,23.67610172,40.63636364,11.55619251,40.63636364,64.07,61.2
44,N1,A6,34.60609756,45.26086957,16.89107143,45.26086957,54.315,50.0
45,N1,A7,119.3464151,64.54164399,58.25241689,64.54164399,52.375,42.3
46,N1,A8,20.45188008,41.66666667,9.982465278,41.66666667,94.785,99.0
47,N1,A9,242.7063762,125.577504,118.4638265,125.577504,234.23,116.9
48,N1,A10,227.5372277,117.72891,111.0598373,117.72891,219.59,109.6
49,N1,A11,212.3680792,109.880316,103.6558482,109.880316,204.95,102.3
50,N1,A12,18.79394055,38.25,9.173232887,38.25,88.88,29.0
51,N1,A13,182.0297822,94.18312799,88.84786986,94.18312799,100.67,28.0
52,N1,A14,26.33384147,38.25,12.85342262,38.25,99.615,86.4
53,N1,Z1,64.19477895,46.58333333,31.33316592,46.58333333,95.685,41.3
54,N1,Z2,55.09542685,117.72891,26.89181548,117.72891,91.69,41.8
55,N1,Z3,52.32901425,125.577504,25.54154266,125.577504,96.195,44.0
56,N1,Z4,51.27367885,102.031722,25.02643849,102.031722,111.015,28.0
57,N1,Z5,273.0446732,141.274692,133.2718048,141.274692,263.51,45.9
58,N1,Z6,136.5223366,70.63734599,66.63590239,70.63734599,131.755,65.8
59,N1,Z7,242.7063762,125.577504,118.4638265,125.577504,234.23,116.9
60,N2,N9,32.44191548,10.48275862,15.83474446,10.48275862,29.32,10.0
61,N2,N10,28.46036586,6.565217391,13.89136905,6.565217391,28.2,9.5
62,N2,S1,42.830794589999996,9.45,20.90550688,9.45,41.46,12.7
63,N2,S2,75.84574255,39.24297,37.01994577,39.24297,73.195,36.5
64,N2,S3,24.37403219,23.02325581,11.89684904,23.02325581,110.565,27.25
65,N2,S4,22.6043621,22.0,11.0330815,22.0,32.585,29.4
66,N2,S5,44.8916418,20.78723404,21.91139659,20.78723404,46.855,19.8
67,N2,S6,43.44512195,17.07142857,21.20535714,17.07142857,34.78,14.8
68,N2,S7,34.38403343,9.481481481,16.78268298,9.481481481,32.15,14.8
69,N2,S8,32.62830285,28.83333333,15.92571925,28.83333333,57.835,30.0
70,N2,E1,23.31891696,15.19047619,11.38185232,15.19047619,29.945,24.3333333333
71,N2,E2,46.04407895,24.36842105,22.47389568,24.36842105,36.69,27.9
72,N2,E3,25.65988031,20.18518519,12.52446539,20.18518519,21.675,19.0
73,N2,E4,30.16776801,17.46511628,14.72474391,17.46511628,33.215,20.0
74,N2,E5,27.94278093,17.21428571,13.63873831,17.21428571,34.88,22.4
75,N2,E6,28.33592018,27.54545455,13.83062771,27.54545455,35.565,26.0
76,N2,E7,36.53658537,35.6,17.83333333,35.6,120.515,60.7
77,N2,E8,67.7957554,39.85829497,33.09078536,39.85829497,104.055,59.1
78,N2,E9,56.4964628,33.21524581,27.57565447,33.21524581,86.715,49.2
79,N2,E10,35.54369919,32.66666667,17.34871032,32.66666667,133.905,67.4
80,N2,E11,49.84247968,50.0,24.32787698,50.0,225.455,128.0
81,N2,M1,27.85181838,25.92857143,13.59433992,25.92857143,39.76,28.5
82,N2,M2,23.87195122,22.5,11.65178571,22.5,44.91,24.5
83,N2,M3,38.27134147,31.6,18.68005952,31.6,52.0,24.0
84,N2,M4,67.5171494,55.5,32.95479911,55.5,71.815,54.0
85,N2,M5,79.3525343,33.66666667,38.73159412,33.66666667,49.9,38.6
86,N2,M6,65.14182925,33.4,31.79541667,33.4,54.455,24.0
87,N2,M7,55.09061655,38.08333333,26.88946759,38.08333333,50.485,30.1
88,N2,M8,49.05092593,31.14814815,23.94152337,31.14814815,52.62,24.8
89,N2,M9,67.027439,22.0,32.71577381,22.0,80.345,40.4
90,N2,M10,30.00762195,32.0,14.64657738,32.0,38.0,24.0
91,N2,M11,75.3125,38.2,36.75967262,38.2,54.92,38.0
92,N2,M12,46.09793191,38.33333333,22.50018105,38.33333333,46.355,28.3
93,N2,M13,68.0030488,34.2,33.19196429,34.2,56.455,22.0
