,source,dest,cost,time
0,N1,B010 (ALBAN TRACTOR),1454.16,2.86
1,N1,B030 (ALTORFER),1454.16,2.86
2,N1,B150 (CLEVELAND BROS),1454.16,2.86
3,N1,B160 (FABCO EQ),1454.16,2.86
4,N1,B170 (FOLEY INC.),727.08,1.43
5,N1,B190 (GILES AND RANSOME),727.08,1.43
6,N1,B270 (MACALLISTER),1454.16,2.86
7,N1,B290 (MICHIGAN CAT),1454.16,2.86
8,N1,B330 (OHIO MACHINERY),1454.16,2.86
9,N1,B350 (PATTEN IND),1454.16,2.86
10,N1,B370 (H.O. PENN MCHY),727.08,1.43
11,N1,B420 (MILTON CAT),727.08,1.43
12,N1,D070 (BLANCHARD MCHY),1454.16,2.86
13,N1,D090 (CAROLINA TR),1454.16,2.86
14,N1,D100 (CARTER MCHY),1454.16,2.86
15,N1,D120 (FABICK TR),1454.16,2.86
16,N1,D180 (GREGORY POOLE),1454.16,2.86
17,N1,D241 (LOUISIANA MCHY),2181.24,4.29
18,N1,D260 (KELLY TRACTOR),2181.24,4.29
19,N1,D310 (J.A. RIGGS),1454.16,2.86
20,N1,D350 (RING POWER),2181.24,4.29
21,N1,D390 (STOWERS MCHY),2181.24,4.29
22,N1,D420 (THOMPSON MACH),2181.24,4.29
23,N1,D430 (THOMPSON TR),1454.16,2.86
24,N1,D440 (PUCKETT MACHY),2181.24,4.29
25,N1,D470 (CI WALKER MCHY),1454.16,2.86
26,N1,D480 (WHAYNE SUPPLY),1454.16,2.86
27,N1,D500 (YANCEY BROS),2181.24,4.29
28,N1,D600 (PIPELINE MACH),2181.24,4.29
29,N1,E070 (BUTLER MCHY),2181.24,4.29
30,N1,E130 (FOLEY EQUIPMENT),2181.24,4.29
31,N1,E140 (HOLT TEXAS),2181.24,4.29
32,N1,E250 (WAGNER EQ),2908.32,5.72
33,N1,E300 (MUSTANG MACH),2181.24,4.29
34,N1,E30A (MUSTANG RENTAL),2181.24,4.29
35,N1,E330 (NEBRASKA MCHY),1454.16,2.86
36,N1,E459 (WARREN POWER),2181.24,4.29
37,N1,E480 (WHEELER MCHY),2908.32,5.72
38,N1,E490 (WYOMING MCHY),2908.32,5.72
39,N1,E500 (ZIEGLER),2181.24,4.29
40,N1,H070 (CASHMAN EQ),2908.32,5.72
41,N1,H160 (EMPIRE MACHY),2908.32,5.72
42,N1,H190 (HAWTHORNE MACHY),2908.32,5.72
43,N1,H200 (HOLT OF CA),2908.32,5.72
44,N1,H270 (JOHNSON MCHY),2908.32,5.72
45,N1,H330 (N C MACHINERY),3635.4,7.15
46,N1,H360 (PETERSON MACH),3635.4,7.15
47,N1,H370 (PETERSON TR),3635.4,7.15
48,N1,H430 (QUINN COMPANY),2908.32,5.72
49,N1,H510 (WESTERN ST. EQ.),2908.32,5.72
50,N1,N020 (TOROMONT CAT),2181.24,4.29
51,N1,N02P (BATTLEFIELD EQ),1454.16,2.86
52,N1,N030 (FINNING INT'L),3635.4,7.15
53,N1,N03C (RAYDON RENTALS),3635.4,7.15
54,N1,N050 (HEWITT EQ),1454.16,2.86
55,N1,N070 (KRAMER),2181.24,4.29
56,N1,N140 (ATLANTIC T AND E),1454.16,2.86
57,N1,N600 (PIPELINE MACH),2181.24,4.29
58,N1,R150 (PANAMERICAN),1454.16,2.86
59,N2,B010 (ALBAN TRACTOR),727.08,1.43
60,N2,B030 (ALTORFER),1454.16,2.86
61,N2,B150 (CLEVELAND BROS),1454.16,2.86
62,N2,B160 (FABCO EQ),2181.24,4.29
63,N2,B170 (FOLEY INC.),1454.16,2.86
64,N2,B190 (GILES AND RANSOME),1454.16,2.86
65,N2,B270 (MACALLISTER),1454.16,2.86
66,N2,B290 (MICHIGAN CAT),2181.24,4.29
67,N2,B330 (OHIO MACHINERY),1454.16,2.86
68,N2,B350 (PATTEN IND),1454.16,2.86
69,N2,B370 (H.O. PENN MCHY),1454.16,2.86
70,N2,B420 (MILTON CAT),1454.16,2.86
71,N2,D070 (BLANCHARD MCHY),727.08,1.43
72,N2,D090 (CAROLINA TR),727.08,1.43
73,N2,D100 (CARTER MCHY),727.08,1.43
74,N2,D120 (FABICK TR),1454.16,2.86
75,N2,D180 (GREGORY POOLE),727.08,1.43
76,N2,D241 (LOUISIANA MCHY),2181.24,4.29
