,chainId,sourceStage,destinationStage
0,1,Manuf_0001,Retail_0001
1,1,Manuf_0001,Retail_0002
2,1,Manuf_0002,Retail_0002
3,1,Manuf_0002,Retail_0003
4,1,Part_0001,Manuf_0001
5,1,Part_0001,Manuf_0002
6,1,Part_0002,Manuf_0001
7,1,Part_0002,Manuf_0002
8,1,Part_0003,Manuf_0001
9,1,Part_0003,Manuf_0002
10,2,Manuf_0001,Trans_0001
11,2,Manuf_0001,Trans_0002
12,2,Manuf_0001,Trans_0003
13,2,Manuf_0001,Trans_0004
14,2,Manuf_0002,Retail_0001
15,2,Manuf_0003,Retail_0002
16,2,Manuf_0004,Retail_0003
17,2,Manuf_0005,Retail_0003
18,2,Manuf_0005,Retail_0004
19,2,Trans_0001,Manuf_0002
20,2,Trans_0002,Manuf_0003
21,2,Trans_0003,Manuf_0004
22,2,Trans_0004,Manuf_0005
23,3,Manuf_0001,Trans_0001
24,3,Manuf_0002,Trans_0004
25,3,Manuf_0003,Dist_0002
26,3,Manuf_0004,Dist_0003
27,3,Manuf_0004,Dist_0004
28,3,Part_0001,Manuf_0001
29,3,Part_0002,Manuf_0001
30,3,Part_0002,Manuf_0002
31,3,Part_0003,Manuf_0001
32,3,Part_0003,Manuf_0002
33,3,Part_0004,Manuf_0002
34,3,Part_0005,Trans_0002
35,3,Part_0005,Trans_0003
36,3,Trans_0001,Manuf_0003
37,3,Trans_0002,Manuf_0003
38,3,Trans_0003,Manuf_0004
39,3,Trans_0004,Dist_0001
40,3,Trans_0004,Manuf_0004
41,4,Dist_0001,Dist_0008
42,4,Dist_0001,Dist_0009
43,4,Dist_0001,Dist_0010
44,4,Dist_0004,Dist_0011
45,4,Manuf_0001,Dist_0001
46,4,Manuf_0002,Dist_0002
47,4,Manuf_0003,Dist_0003
48,4,Manuf_0004,Dist_0004
49,4,Manuf_0005,Dist_0005
50,4,Manuf_0006,Dist_0006
51,4,Manuf_0007,Dist_0007
52,4,Part_0001,Manuf_0001
53,4,Part_0001,Manuf_0002
54,4,Part_0001,Manuf_0003
55,4,Part_0001,Manuf_0004
56,4,Part_0001,Manuf_0005
57,4,Part_0001,Manuf_0006
58,4,Part_0001,Manuf_0007
59,4,Part_0002,Manuf_0001
60,4,Part_0002,Manuf_0002
61,4,Part_0002,Manuf_0003
62,4,Part_0002,Manuf_0004
63,4,Part_0002,Manuf_0005
64,4,Part_0002,Manuf_0006
65,4,Part_0002,Manuf_0007
66,4,Part_0003,Manuf_0001
67,4,Part_0003,Manuf_0002
68,4,Part_0003,Manuf_0003
69,4,Part_0003,Manuf_0004
70,4,Part_0003,Manuf_0005
71,4,Part_0003,Manuf_0006
72,4,Part_0003,Manuf_0007
73,4,Part_0004,Manuf_0001
74,4,Part_0004,Manuf_0002
75,4,Part_0004,Manuf_0003
76,4,Part_0004,Manuf_0004
77,4,Part_0004,Manuf_0005
78,4,Part_0004,Manuf_0006
79,4,Part_0004,Manuf_0007
80,5,Dist_0001,Manuf_0002
81,5,Dist_0001,Manuf_0003
82,5,Dist_0001,Manuf_0004
83,5,Dist_0001,Manuf_0005
84,5,Manuf_0001,Dist_0001
85,5,Manuf_0002,Retail_0001
86,5,Manuf_0002,Retail_0002
87,5,Manuf_0003,Retail_0003
88,5,Manuf_0003,Retail_0004
89,5,Manuf_0004,Retail_0005
90,5,Manuf_0004,Retail_0006
91,5,Manuf_0005,Retail_0007
92,5,Manuf_0005,Retail_0008
93,5,Part_0001,Manuf_0001
94,5,Part_0002,Manuf_0001
95,5,Part_0003,Manuf_0001
96,5,Part_0004,Manuf_0001
97,5,Part_0005,Manuf_0001
98,5,Part_0006,Manuf_0001
99,5,Part_0007,Manuf_0002
100,5,Part_0008,Manuf_0002
101,5,Part_0008,Manuf_0003
102,5,Part_0009,Manuf_0003
103,5,Part_0010,Manuf_0002
104,5,Part_0010,Manuf_0003
105,5,Part_0010,Manuf_0004
106,5,Part_0010,Manuf_0005
107,5,Part_0011,Manuf_0004
108,5,Part_0012,Manuf_0004
109,5,Part_0012,Manuf_0005
110,5,Part_0013,Manuf_0005
111,6,Manuf_0001,Trans_0001
112,6,Manuf_0002,Trans_0002
113,6,Manuf_0003,Trans_0003
114,6,Manuf_0004,Trans_0004
115,6,Manuf_0005,Trans_0005
116,6,Manuf_0006,Trans_0006
117,6,Manuf_0007,Dist_0001
118,6,Manuf_0007,Dist_0002
119,6,Manuf_0007,Dist_0003
120,6,Manuf_0008,Dist_0004
121,6,Manuf_0008,Dist_0005
122,6,Manuf_0008,Dist_0006
123,6,Manuf_0009,Dist_0007
124,6,Manuf_0009,Dist_0008
125,6,Manuf_0009,Dist_0009
126,6,Manuf_0010,Dist_0010
127,6,Manuf_0010,Dist_0011
128,6,Manuf_0010,Dist_0012
129,6,Trans_0001,Manuf_0007
130,6,Trans_0001,Manuf_0009
131,6,Trans_0001,Manuf_0010
132,6,Trans_0002,Manuf_0007
133,6,Trans_0002,Manuf_0008
134,6,Trans_0003,Manuf_0008
135,6,Trans_0004,Manuf_0009
136,6,Trans_0005,Manuf_0009
137,6,Trans_0005,Manuf_0010
138,6,Trans_0006,Manuf_0010
139,7,Manuf_0001,Retail_0001
140,7,Manuf_0002,Retail_0002
141,7,Manuf_0003,Retail_0003
142,7,Manuf_0004,Retail_0004
143,7,Manuf_0005,Retail_0005
144,7,Manuf_0006,Retail_0006
145,7,Part_0001,Trans_0001
146,7,Part_0002,Trans_0002
147,7,Part_0003,Trans_0003
148,7,Part_0004,Trans_0004
