,chainId,Stage_Name,stageCost,relDepth,stageClassification,avgDemand,stdDevDemand,maxServiceTime,serviceLevel,stageTime,stdDev_stageTime,stageTime_1,stageTime_%_1,stageTime_2,stageTime_%_2,stageTime_3,stageTime_%_3,stageTime_4,stageTime_%_4,stageTime_5,stageTime_%_5,stageTime_6,stageTime_%_6,xPosition,yPosition,Unnamed: 25
0,1,Retail_0001,0,0,Retail,253.0,36.62,0.0,0.95,0.0,,,,,,,,,,,,,,304,32,
1,1,Retail_0002,0,0,Retail,45.0,1.0,0.0,0.95,0.0,,,,,,,,,,,,,,304,96,
2,1,Retail_0003,0,0,Retail,75.0,2.0,0.0,0.95,0.0,,,,,,,,,,,,,,304,160,
3,1,Part_0002,5,2,Part,,,,,15.0,,,,,,,,,,,,,,32,96,
4,1,Part_0003,9,2,Part,,,,,10.0,,,,,,,,,,,,,,32,160,
5,1,Part_0001,12,2,Part,,,,,28.0,11.22,20,0.4,25,0.4,50,0.2,,,,,,,32,32,
6,1,Manuf_0002,36,1,Manuf,,,,,10.0,,,,,,,,,,,,,,176,96,
7,1,Manuf_0001,39,1,Manuf,,,,,10.0,,,,,,,,,,,,,,176,32,
8,2,Retail_0001,0,0,Retail,4000.0,7500.0,20.0,0.96,5.0,,,,,,,,,,,,,,592,48,
9,2,Retail_0002,0,0,Retail,2000.0,3500.0,20.0,0.96,5.0,,,,,,,,,,,,,,592,112,
10,2,Retail_0003,0,0,Retail,8000.0,9000.0,20.0,0.96,5.0,,,,,,,,,,,,,,592,176,
11,2,Retail_0004,0,0,Retail,700.0,1400.0,20.0,0.96,5.0,,,,,,,,,,,,,,592,240,
12,2,Trans_0003,0.35,2,Trans,,,,,15.0,,,,,,,,,,,,,,240,176,
13,2,Trans_0004,0.35,2,Trans,,,,,15.0,,,,,,,,,,,,,,240,240,
14,2,Trans_0002,0.5,2,Trans,,,,,15.0,,,,,,,,,,,,,,240,112,
15,2,Trans_0001,0.55,2,Trans,,,,,15.0,,,,,,,,,,,,,,240,48,
16,2,Manuf_0002,12,1,Manuf,,,,,14.0,,,,,,,,,,,,,,416,48,
17,2,Manuf_0003,12,1,Manuf,,,,,14.0,,,,,,,,,,,,,,416,112,
18,2,Manuf_0004,12,1,Manuf,,,,,14.0,,,,,,,,,,,,,,416,176,
19,2,Manuf_0005,12,1,Manuf,,,,,14.0,,,,,,,,,,,,,,416,240,
20,2,Manuf_0001,80,3,Manuf,,,,,30.0,,,,,,,,,,,,,,64,48,
21,3,Trans_0001,0,2,Trans,,,,,2.0,,,,,,,,,,,,,,288,32,
22,3,Trans_0004,0,2,Trans,,,,,2.0,,,,,,,,,,,,,,288,272,
23,3,Trans_0003,2,2,Trans,,,,,2.0,,,,,,,,,,,,,,288,192,
24,3,Trans_0002,3,2,Trans,,,,,2.0,,,,,,,,,,,,,,288,112,
25,3,Manuf_0003,50,1,Manuf,,,,,10.0,,,,,,,,,,,,,,384,64,
26,3,Manuf_0004,60,1,Manuf,,,,,10.0,,,,,,,,,,,,,,384,192,
27,3,Dist_0002,150,0,Dist,126.0,132.3,0.0,0.95,1.2,0.4,1,0.8,2,0.2,,,,,,,,,480,64,
28,3,Dist_0003,250,0,Dist,57.0,51.3,0.0,0.95,4.3,0.64,4,0.8,5,0.1,6,0.1,,,,,,,480,144,
29,3,Manuf_0002,250,3,Manuf,,,,,10.0,,,,,,,,,,,,,,192,272,
30,3,Manuf_0001,300,3,Manuf,,,,,12.0,,,,,,,,,,,,,,192,32,
31,3,Dist_0004,335.4,0,Dist,46.0,45.0,0.0,0.95,4.2,0.4,4,0.8,5,0.2,,,,,,,,,480,240,
32,3,Dist_0001,400,1,Dist,70.0,35.0,0.0,0.95,1.0,,,,,,,,,,,,,,384,272,
33,3,Part_0003,400,4,Part,,,,,53.5,4.5,50,0.5,55,0.4,65,0.1,,,,,,,96,192,
34,3,Part_0002,600,4,Part,,,,,37.5,7.5,30,0.5,45,0.5,,,,,,,,,96,112,
35,3,Part_0001,1100,4,Part,,,,,45.0,6.71,40,0.6,50,0.3,60,0.1,,,,,,,96,32,
36,3,Part_0004,1100,4,Part,,,,,26.0,6.63,20,0.5,30,0.4,40,0.1,,,,,,,96,272,
37,3,Part_0005,1500,3,Part,,,,,31.0,6.63,25,0.5,35,0.4,45,0.1,,,,,,,192,144,
38,4,Dist_0010,1.05,0,Dist,900.0,5.0,0.0,0.96,0.0,,,,,,,,,,,,,,512,160,
39,4,Dist_0009,2.16,0,Dist,300.0,3.0,0.0,0.96,14.0,,,,,,,,,,,,,,512,96,
40,4,Dist_0008,2.57,0,Dist,420.0,2.0,0.0,0.96,14.0,,,,,,,,,,,,,,512,32,
41,4,Dist_0007,3.96,1,Dist,30.0,5.0,0.0,0.96,35.0,,,,,,,,,,,,,,368,416,
42,4,Dist_0005,4.01,1,Dist,300.0,5.0,0.0,0.96,35.0,,,,,,,,,,,,,,368,288,
43,4,Dist_0006,4.02,1,Dist,90.0,5.0,0.0,0.96,35.0,,,,,,,,,,,,,,368,352,
44,4,Dist_0002,4.54,1,Dist,600.0,5.0,0.0,0.96,35.0,,,,,,,,,,,,,,368,96,
45,4,Manuf_0004,5.26,2,Manuf,,,,,35.0,,,,,,,,,,,,,,224,224,
46,4,Manuf_0007,5.48,2,Manuf,,,,,35.0,,,,,,,,,,,,,,224,416,
47,4,Manuf_0005,5.85,2,Manuf,,,,,35.0,,,,,,,,,,,,,,224,288,
48,4,Manuf_0006,6.3,2,Manuf,,,,,35.0,,,,,,,,,,,,,,224,352,
49,4,Dist_0011,7.37,0,Dist,210.0,5.0,0.0,0.96,0.0,,,,,,,,,,,,,,512,224,
50,4,Manuf_0003,7.37,2,Manuf,,,,,35.0,,,,,,,,,,,,,,224,160,
51,4,Dist_0003,7.55,1,Dist,150.0,5.0,0.0,0.96,35.0,,,,,,,,,,,,,,368,160,
52,4,Dist_0004,8.55,1,Dist,,,,,35.0,,,,,,,,,,,,,,368,224,
53,4,Dist_0001,9.02,1,Dist,,,,,35.0,,,,,,,,,,,,,,368,32,
54,4,Manuf_0001,9.7,2,Manuf,,,,,35.0,,,,,,,,,,,,,,224,32,
55,4,Manuf_0002,10.13,2,Manuf,,,,,35.0,,,,,,,,,,,,,,224,96,
56,4,Part_0001,26.3,3,Part,,,,,90.0,,,,,,,,,,,,,,48,32,
57,4,Part_0002,27.92,3,Part,,,,,120.0,,,,,,,,,,,,,,48,96,
58,4,Part_0003,34.56,3,Part,,,,,120.0,,,,,,,,,,,,,,48,160,
59,4,Part_0004,106.34,3,Part,,,,,0.0,,,,,,,,,,,,,,48,224,
60,5,Part_0001,0.8,4,Part,,,,,38.0,4.58,35,0.6,40,0.3,50,0.1,,,,,,,48,50,
61,5,Part_0005,0.83,4,Part,,,,,33.75,2.17,30,0.25,35,0.75,,,,,,,,,48,50,
62,5,Part_0010,0.83,2,Part,,,,,36.0,5.15,30,0.25,35,0.5,40,0.05,45,0.2,,,,,288,200,
63,5,Part_0004,0.85,4,Part,,,,,33.75,2.17,30,0.25,35,0.75,,,,,,,,,48,50,
64,5,Manuf_0001,0.87,3,Manuf,,,,,1.0,,,,,,,,,,,,,,176,125,
65,5,Part_0013,0.88,2,Part,,,,,10.0,,,,,,,,,,,,,,288,200,
66,5,Part_0007,1.03,2,Part,,,,,11.75,4.82,,,,,,,,,,,,,288,200,
67,5,Part_0009,1.07,2,Part,,,,,10.0,,,,,,,,,,,,,,288,200,
68,5,Part_0006,1.19,4,Part,,,,,12.0,,,,,,,,,,,,,,48,50,
69,5,Retail_0001,1.19,0,Retail,353.0,395.78,2.0,0.98,5.1,0.3,,,,,,,,,,,,,544,350,
70,5,Part_0003,1.2,4,Part,,,,,14.0,,,,,,,,,,,,,,48,50,
71,5,Part_0002,1.24,4,Part,,,,,34.55,1.69,32,0.2,34,0.25,35,0.3,36,0.2,39.0,0.05,,,48,50,
72,5,Retail_0006,1.25,0,Retail,367.0,367.7,2.0,0.98,5.1,0.3,,,,,,,,,,,,,544,350,
73,5,Part_0011,1.27,2,Part,,,,,10.0,,,,,,,,,,,,,,288,200,
74,5,Retail_0005,1.44,0,Retail,435.0,458.75,2.0,0.98,5.1,0.3,,,,,,,,,,,,,544,350,
75,5,Retail_0002,1.45,0,Retail,482.0,450.28,2.0,0.98,3.0,,,,,,,,,,,,,,544,350,
76,5,Retail_0003,1.58,0,Retail,3750.0,2573.63,2.0,0.98,2.0,,,,,,,,,,,,,,544,350,
77,5,Manuf_0004,1.59,1,Manuf,,,,,2.05,0.8,1,0.25,2,0.5,3,0.2,4,0.05,,,,,416,275,
78,5,Retail_0007,1.59,0,Retail,2793.0,2048.39,2.0,0.98,4.1,0.3,,,,,,,,,,,,,544,350,
79,5,Retail_0008,1.98,0,Retail,3554.0,3032.27,2.0,0.98,3.0,,,,,,,,,,,,,,544,350,"395,78"
80,5,Manuf_0003,2.39,1,Manuf,,,,,2.05,0.8,1,0.25,2,0.5,3,0.2,4,0.05,,,,,416,275,
81,5,Retail_0004,2.4,0,Retail,4637.0,3043.73,2.0,0.98,3.0,,,,,,,,,,,,,,544,350,
82,5,Dist_0001,2.47,2,Dist,,,,,1.0,,,,,,,,,,,,,,288,200,
83,5,Manuf_0002,2.74,1,Manuf,,,,,2.05,0.8,1,0.25,2,0.5,3,0.2,4,0.05,,,,,416,275,
84,5,Manuf_0005,2.87,1,Manuf,,,,,2.05,0.8,1,0.25,2,0.5,3,0.2,4,0.05,,,,,416,275,
85,5,Part_0008,14.01,2,Part,,,,,35.0,4.23,,,,,,,,,,,,,288,200,
86,5,Part_0012,17.97,2,Part,,,,,40.2,6.17,,,,,,,,,,,,,288,200,
87,6,Dist_0002,0.05,0,Dist,291.05,2.92,0.0,0.96,2.0,1.0,,,,,,,,,,,,,496,96,
88,6,Dist_0005,0.05,0,Dist,40.12,2.81,0.0,0.96,2.0,1.0,,,,,,,,,,,,,496,288,
89,6,Dist_0008,0.05,0,Dist,857.28,2.83,0.0,0.96,2.0,1.0,,,,,,,,,,,,,496,480,
90,6,Dist_0011,0.05,0,Dist,1001.53,2.91,0.0,0.96,2.0,1.0,,,,,,,,,,,,,496,688,
91,6,Trans_0002,0.05,2,Trans,,,,,2.0,,,,,,,,,,,,,,208,192,
92,6,Trans_0005,0.05,2,Trans,,,,,2.0,,,,,,,,,,,,,,208,576,
93,6,Trans_0001,0.1,2,Trans,,,,,2.0,,,,,,,,,,,,,,208,96,
94,6,Trans_0003,0.1,2,Trans,,,,,2.0,,,,,,,,,,,,,,208,288,
95,6,Trans_0004,0.1,2,Trans,,,,,2.0,,,,,,,,,,,,,,208,480,
96,6,Trans_0006,0.1,2,Trans,,,,,2.0,,,,,,,,,,,,,,208,688,
